"data_pregao","preco_abertura","preco_minimo","preco_ultimo_negocio","preco_medio","preco_maximo","volume_total_negociado","cod_negociacao","nome_empresa"
2021-05-31,13.56,13.2,13.2,13.83,15.0,29003754,DOTZ3,DOTZ SA
2021-06-01,13.41,13.05,13.18,13.21,13.75,7914135,DOTZ3,DOTZ SA
2021-06-02,13.2,13.04,13.32,13.2,13.32,4221247,DOTZ3,DOTZ SA
2021-06-04,13.36,13.1,13.14,13.15,13.57,2406812,DOTZ3,DOTZ SA
2021-06-07,13.16,13.1,13.15,13.15,13.26,698742,DOTZ3,DOTZ SA
2021-06-08,13.15,13.05,13.1,13.1,13.5,1487000,DOTZ3,DOTZ SA
2021-06-09,13.1,12.66,12.82,12.84,13.15,902040,DOTZ3,DOTZ SA
2021-06-10,12.82,12.65,12.83,12.75,12.85,686123,DOTZ3,DOTZ SA
2021-06-11,12.75,12.66,12.75,12.74,12.85,591459,DOTZ3,DOTZ SA
2021-06-14,12.75,12.62,12.75,12.71,12.79,556852,DOTZ3,DOTZ SA
2021-06-15,12.75,12.73,12.91,12.83,12.96,516083,DOTZ3,DOTZ SA
2021-06-16,12.97,12.95,13.04,13.0,13.11,820865,DOTZ3,DOTZ SA
2021-06-17,13.04,12.67,13.12,13.01,13.15,659917,DOTZ3,DOTZ SA
2021-06-18,13.01,13.0,13.15,13.09,13.19,458335,DOTZ3,DOTZ SA
2021-06-21,13.19,13.15,13.2,13.17,13.4,1077834,DOTZ3,DOTZ SA
2021-06-22,13.2,12.67,13.6,13.22,13.6,1493234,DOTZ3,DOTZ SA
2021-06-23,13.6,13.3,13.5,13.44,13.6,865869,DOTZ3,DOTZ SA
2021-06-24,13.58,13.23,13.26,13.33,13.58,277389,DOTZ3,DOTZ SA
2021-06-25,13.24,13.21,13.8,13.57,13.8,1224474,DOTZ3,DOTZ SA
2021-06-28,13.73,13.38,13.6,13.56,13.78,1114966,DOTZ3,DOTZ SA
2021-06-29,13.61,13.45,13.77,13.66,13.77,323847,DOTZ3,DOTZ SA
2021-06-30,13.78,13.58,13.92,13.96,14.12,1489012,DOTZ3,DOTZ SA
2021-07-01,14.3,13.79,14.16,14.1,14.3,758693,DOTZ3,DOTZ SA
2021-07-02,14.14,13.86,14.0,14.06,14.19,436086,DOTZ3,DOTZ SA
2021-07-05,14.11,13.95,13.95,14.04,14.23,699666,DOTZ3,DOTZ SA
2021-07-06,13.95,13.51,13.95,13.85,14.0,580655,DOTZ3,DOTZ SA
2021-07-07,14.19,13.75,14.0,13.88,14.19,276216,DOTZ3,DOTZ SA
2021-07-08,13.61,13.6,13.81,13.78,13.96,216494,DOTZ3,DOTZ SA
2021-07-12,14.3,14.0,16.0,14.96,16.0,4710966,DOTZ3,DOTZ SA
2021-07-13,17.7,16.8,17.15,17.36,18.45,10796707,DOTZ3,DOTZ SA
2021-07-14,17.3,16.64,16.69,17.25,18.38,7203524,DOTZ3,DOTZ SA
2021-07-15,16.5,16.5,16.5,17.06,17.79,4933993,DOTZ3,DOTZ SA
2021-07-16,16.89,16.03,16.4,16.47,17.07,1698825,DOTZ3,DOTZ SA
2021-07-19,16.17,15.56,16.69,16.2,16.7,1447532,DOTZ3,DOTZ SA
2021-07-20,16.64,16.64,17.0,17.09,17.5,2062926,DOTZ3,DOTZ SA
2021-07-21,17.1,16.07,16.96,16.7,17.25,1536406,DOTZ3,DOTZ SA
2021-07-22,16.76,16.55,16.78,16.72,17.09,886358,DOTZ3,DOTZ SA
2021-07-23,16.99,16.39,16.5,16.64,17.01,734082,DOTZ3,DOTZ SA
2021-07-26,16.22,15.66,16.0,15.96,16.29,1052394,DOTZ3,DOTZ SA
2021-07-27,15.8,14.61,15.55,15.12,15.8,2225680,DOTZ3,DOTZ SA
2021-07-28,15.56,14.45,14.45,15.28,15.74,1025677,DOTZ3,DOTZ SA
2021-07-29,14.64,12.93,12.93,13.22,15.55,19062020,DOTZ3,DOTZ SA
2021-07-30,13.03,12.27,12.48,12.59,13.09,2365862,DOTZ3,DOTZ SA
2021-08-02,12.48,12.31,12.59,12.6,12.88,940144,DOTZ3,DOTZ SA
2021-08-03,12.74,12.08,12.69,12.51,12.78,1014967,DOTZ3,DOTZ SA
2021-08-04,12.8,12.17,12.17,12.34,12.81,687781,DOTZ3,DOTZ SA
2021-08-05,12.4,11.76,11.87,12.03,12.8,834247,DOTZ3,DOTZ SA
2021-08-06,12.14,11.1,11.1,11.4,12.14,1982854,DOTZ3,DOTZ SA
2021-08-09,10.91,10.11,10.11,10.7,11.1,2839572,DOTZ3,DOTZ SA
2021-08-10,10.18,9.61,10.15,10.23,10.53,1219745,DOTZ3,DOTZ SA
2021-08-11,10.11,9.68,9.8,9.93,10.23,777105,DOTZ3,DOTZ SA
2021-08-12,9.96,9.7,10.15,10.0,10.3,550467,DOTZ3,DOTZ SA
2021-08-13,10.17,10.0,10.3,10.25,10.45,423428,DOTZ3,DOTZ SA
2021-08-16,10.2,9.45,9.99,9.74,10.2,446278,DOTZ3,DOTZ SA
2021-08-17,10.11,9.2,9.8,9.59,10.25,434752,DOTZ3,DOTZ SA
2021-08-18,10.01,9.57,9.8,9.79,10.24,425260,DOTZ3,DOTZ SA
2021-08-19,9.61,9.41,9.78,9.65,9.99,455745,DOTZ3,DOTZ SA
2021-08-20,9.65,9.45,9.49,9.57,9.88,1114477,DOTZ3,DOTZ SA
2021-08-23,9.43,9.06,9.22,9.3,9.53,454962,DOTZ3,DOTZ SA
2021-08-24,9.23,9.15,9.28,9.3,9.59,462399,DOTZ3,DOTZ SA
2021-08-25,9.35,9.23,9.31,9.35,9.5,347175,DOTZ3,DOTZ SA
2021-08-26,9.32,8.94,9.01,9.12,9.39,408589,DOTZ3,DOTZ SA
2021-08-27,9.24,9.02,9.05,9.13,9.39,987363,DOTZ3,DOTZ SA
2021-08-30,9.12,9.1,9.13,9.24,9.5,503009,DOTZ3,DOTZ SA
2021-08-31,9.23,8.8,9.2,9.06,9.3,573498,DOTZ3,DOTZ SA
2021-09-01,9.38,9.28,9.29,9.55,9.99,1854620,DOTZ3,DOTZ SA
2021-09-02,9.42,8.82,9.1,9.06,9.67,1032668,DOTZ3,DOTZ SA
2021-09-03,8.99,8.92,8.95,9.01,9.11,458991,DOTZ3,DOTZ SA
2021-09-06,8.96,8.8,9.17,8.91,9.17,455546,DOTZ3,DOTZ SA
2021-09-08,9.0,8.51,8.82,8.69,9.03,581891,DOTZ3,DOTZ SA
2021-09-09,8.8,8.35,8.57,8.5,8.8,1077090,DOTZ3,DOTZ SA
2021-09-10,8.7,8.42,8.6,8.65,8.93,446343,DOTZ3,DOTZ SA
2021-09-13,8.84,8.4,8.66,8.65,9.0,8270728,DOTZ3,DOTZ SA
2021-09-14,8.62,8.51,8.63,8.62,8.73,353546,DOTZ3,DOTZ SA
2021-09-15,8.63,8.53,8.77,8.75,9.09,542996,DOTZ3,DOTZ SA
2021-09-16,8.53,8.5,8.5,8.64,8.91,601500,DOTZ3,DOTZ SA
2021-09-17,8.47,8.28,8.97,8.74,9.2,1662862,DOTZ3,DOTZ SA
2021-09-20,8.76,8.48,8.91,8.72,8.91,422979,DOTZ3,DOTZ SA
2021-09-21,8.92,8.52,8.6,8.66,9.1,704422,DOTZ3,DOTZ SA
2021-09-22,8.7,8.42,8.43,8.5,8.7,427796,DOTZ3,DOTZ SA
2021-09-23,8.46,8.42,8.49,8.51,8.71,458774,DOTZ3,DOTZ SA
2021-09-24,8.54,8.34,8.4,8.41,8.54,267578,DOTZ3,DOTZ SA
2021-09-27,8.49,8.34,8.4,8.43,8.5,150058,DOTZ3,DOTZ SA
2021-09-28,8.4,7.83,8.25,8.09,8.4,518155,DOTZ3,DOTZ SA
2021-09-29,8.17,7.66,7.66,7.87,8.27,1304463,DOTZ3,DOTZ SA
2021-09-30,7.7,7.42,7.51,7.58,7.74,480417,DOTZ3,DOTZ SA
2021-10-01,7.63,7.15,7.49,7.49,7.76,631012,DOTZ3,DOTZ SA
2021-10-04,7.42,6.85,6.91,7.03,7.52,716072,DOTZ3,DOTZ SA
2021-10-05,7.15,6.66,6.66,6.84,7.15,281919,DOTZ3,DOTZ SA
2021-10-06,6.63,6.1,6.13,6.34,6.75,447578,DOTZ3,DOTZ SA
2021-10-07,6.35,5.9,6.29,6.15,6.45,381548,DOTZ3,DOTZ SA
2021-10-08,6.4,6.32,6.88,6.8,7.05,781651,DOTZ3,DOTZ SA
2021-10-11,7.04,6.32,6.32,6.62,7.08,357070,DOTZ3,DOTZ SA
2021-10-13,6.57,5.95,6.19,6.13,6.57,643068,DOTZ3,DOTZ SA
2021-10-14,6.29,6.03,6.15,6.14,6.29,192243,DOTZ3,DOTZ SA
2021-10-15,6.16,6.05,6.26,6.21,6.3,205685,DOTZ3,DOTZ SA
2021-10-18,6.33,6.04,6.19,6.17,6.33,392376,DOTZ3,DOTZ SA
2021-10-19,6.68,5.8,5.99,6.03,6.68,395949,DOTZ3,DOTZ SA
2021-10-20,6.25,5.73,5.73,5.87,6.39,496640,DOTZ3,DOTZ SA
2021-10-21,5.65,5.2,5.2,5.42,5.79,821583,DOTZ3,DOTZ SA
2021-10-22,5.23,4.46,4.62,4.68,5.23,1012472,DOTZ3,DOTZ SA
2021-10-25,5.0,4.2,4.34,4.57,5.0,811850,DOTZ3,DOTZ SA
2021-10-26,4.28,3.93,4.19,4.08,4.49,537759,DOTZ3,DOTZ SA
2021-10-27,4.11,3.99,4.03,4.13,4.44,161103,DOTZ3,DOTZ SA
2021-10-28,4.0,3.89,3.99,3.98,4.06,138260,DOTZ3,DOTZ SA
2021-10-29,3.99,3.66,4.0,3.87,4.02,162940,DOTZ3,DOTZ SA
2021-11-01,4.02,3.95,4.15,4.06,4.15,125500,DOTZ3,DOTZ SA
2021-11-03,4.01,3.91,4.29,4.1,4.3,282751,DOTZ3,DOTZ SA
2021-11-04,4.29,4.01,4.15,4.15,4.29,281310,DOTZ3,DOTZ SA
2021-11-05,4.18,4.18,4.71,4.57,4.89,836612,DOTZ3,DOTZ SA
2021-11-08,4.95,4.8,4.95,5.01,5.19,661552,DOTZ3,DOTZ SA
2021-11-09,4.95,4.95,5.26,5.25,5.44,530160,DOTZ3,DOTZ SA
2021-11-10,5.3,5.03,5.38,5.41,5.7,406124,DOTZ3,DOTZ SA
2021-11-11,5.48,5.03,5.61,5.33,5.69,260857,DOTZ3,DOTZ SA
2021-11-12,5.6,5.01,5.01,5.25,5.74,576524,DOTZ3,DOTZ SA
2021-11-16,5.05,4.4,4.7,4.68,5.06,4985864,DOTZ3,DOTZ SA
2021-11-17,4.7,4.4,4.4,4.5,4.88,418963,DOTZ3,DOTZ SA
2021-11-18,4.5,4.01,4.01,4.21,4.5,521686,DOTZ3,DOTZ SA
2021-11-19,4.05,3.81,4.2,4.02,4.24,358527,DOTZ3,DOTZ SA
2021-11-22,4.22,3.91,4.1,4.09,4.22,248066,DOTZ3,DOTZ SA
2021-11-23,4.13,3.82,3.94,3.94,4.19,288409,DOTZ3,DOTZ SA
2021-11-24,3.96,3.8,3.8,3.84,4.0,279122,DOTZ3,DOTZ SA
2021-11-25,3.82,3.67,3.67,3.74,3.88,281813,DOTZ3,DOTZ SA
2021-11-26,3.75,3.25,3.54,3.42,3.75,266337,DOTZ3,DOTZ SA
2021-11-29,3.64,3.37,3.5,3.46,3.7,459910,DOTZ3,DOTZ SA
2021-11-30,3.5,3.21,3.43,3.36,3.54,201786,DOTZ3,DOTZ SA
2021-12-01,3.48,2.97,3.22,3.18,3.48,322046,DOTZ3,DOTZ SA
2021-12-02,3.36,3.11,3.24,3.21,3.36,396878,DOTZ3,DOTZ SA
2021-12-03,3.25,3.1,3.2,3.24,3.4,435547,DOTZ3,DOTZ SA
2021-12-06,3.25,3.03,3.15,3.2,3.39,547938,DOTZ3,DOTZ SA
2021-12-07,3.21,3.15,3.15,3.23,3.35,551492,DOTZ3,DOTZ SA
2021-12-08,3.25,3.08,3.29,3.22,3.35,1125014,DOTZ3,DOTZ SA
2021-12-09,3.29,3.18,3.33,3.3,3.39,336686,DOTZ3,DOTZ SA
