"data_pregao","preco_abertura","preco_minimo","preco_ultimo_negocio","preco_medio","preco_maximo","volume_total_negociado","cod_negociacao","nome_empresa"
2021-02-04,18.5,18.11,19.74,19.05,20.34,492087713,INTB3,INTELBRAS
2021-02-05,19.99,19.9,20.0,20.38,21.15,198928731,INTB3,INTELBRAS
2021-02-08,20.2,18.73,19.29,19.35,20.2,89236357,INTB3,INTELBRAS
2021-02-09,19.29,18.25,20.0,18.94,20.0,58300933,INTB3,INTELBRAS
2021-02-10,19.71,18.62,19.5,19.14,19.98,57403307,INTB3,INTELBRAS
2021-02-11,19.28,18.82,19.43,19.16,19.47,60784195,INTB3,INTELBRAS
2021-02-12,19.18,18.88,19.97,19.79,20.11,33892388,INTB3,INTELBRAS
2021-02-17,20.0,19.6,19.92,19.78,20.05,9402657,INTB3,INTELBRAS
2021-02-18,19.9,19.37,19.95,19.8,20.0,21665209,INTB3,INTELBRAS
2021-02-19,19.9,19.61,19.99,19.96,20.09,16006069,INTB3,INTELBRAS
2021-02-22,19.52,19.03,19.38,19.32,19.74,23780809,INTB3,INTELBRAS
2021-02-23,19.25,19.11,19.39,19.32,19.43,12879682,INTB3,INTELBRAS
2021-02-24,19.28,18.5,18.98,18.94,19.39,31317311,INTB3,INTELBRAS
2021-02-25,19.2,18.5,18.87,18.81,19.39,19328594,INTB3,INTELBRAS
2021-02-26,18.85,17.81,19.0,18.53,19.0,23103479,INTB3,INTELBRAS
2021-03-01,18.99,18.05,18.44,18.44,18.99,17074264,INTB3,INTELBRAS
2021-03-02,18.42,17.38,18.07,17.83,18.42,14450274,INTB3,INTELBRAS
2021-03-03,17.9,16.85,17.6,17.36,18.06,30446111,INTB3,INTELBRAS
2021-03-04,17.55,17.19,18.57,18.06,18.57,26551166,INTB3,INTELBRAS
2021-03-05,18.5,17.71,18.86,18.25,18.86,16851848,INTB3,INTELBRAS
2021-03-08,18.39,18.01,18.01,18.14,18.57,11084172,INTB3,INTELBRAS
2021-03-09,18.02,17.13,17.33,17.47,18.4,15348546,INTB3,INTELBRAS
2021-03-10,17.57,16.26,17.0,16.77,17.57,40940090,INTB3,INTELBRAS
2021-03-11,16.86,16.68,17.75,17.19,17.75,22098921,INTB3,INTELBRAS
2021-03-12,17.5,17.32,18.93,18.51,19.17,15083359,INTB3,INTELBRAS
2021-03-15,19.0,18.85,19.3,19.1,19.66,35260325,INTB3,INTELBRAS
2021-03-16,19.3,18.9,19.25,19.07,19.3,18705083,INTB3,INTELBRAS
2021-03-17,19.35,18.93,19.49,19.23,19.57,16636781,INTB3,INTELBRAS
2021-03-18,19.49,18.66,19.0,18.98,19.49,13523859,INTB3,INTELBRAS
2021-03-19,19.0,18.71,19.05,19.01,19.33,17179677,INTB3,INTELBRAS
2021-03-22,19.05,18.9,19.09,19.17,19.6,21193815,INTB3,INTELBRAS
2021-03-23,19.74,19.54,21.09,20.37,21.58,118586867,INTB3,INTELBRAS
2021-03-24,21.09,20.4,21.07,21.18,21.79,54382167,INTB3,INTELBRAS
2021-03-25,21.08,20.07,20.4,20.4,21.33,74276815,INTB3,INTELBRAS
2021-03-26,20.45,19.32,19.7,19.78,20.51,21337300,INTB3,INTELBRAS
2021-03-29,19.73,19.35,20.09,19.98,20.43,14829746,INTB3,INTELBRAS
2021-03-30,20.25,19.69,20.3,20.03,20.43,24780581,INTB3,INTELBRAS
2021-03-31,20.21,19.81,20.39,20.27,20.45,26272020,INTB3,INTELBRAS
2021-04-01,21.0,20.63,21.13,21.14,21.56,78299632,INTB3,INTELBRAS
2021-04-05,21.13,20.5,21.01,20.89,21.13,29125777,INTB3,INTELBRAS
