"data_pregao","preco_abertura","preco_minimo","preco_ultimo_negocio","preco_medio","preco_maximo","volume_total_negociado","cod_negociacao","nome_empresa"
2020-02-06,19.8,19.68,20.6,20.44,21.77,444477112,LWSA3,LOCAWEB
2020-02-07,20.5,20.23,20.3,20.66,22.0,64421268,LWSA3,LOCAWEB
2020-02-10,20.6,19.4,20.2,19.75,20.6,59974941,LWSA3,LOCAWEB
2020-02-11,20.35,19.5,20.2,19.99,20.49,65947788,LWSA3,LOCAWEB
2020-02-12,20.37,20.3,21.92,20.8,21.92,49696607,LWSA3,LOCAWEB
2020-02-13,21.32,20.94,22.0,22.03,22.65,24225485,LWSA3,LOCAWEB
2020-02-14,22.01,22.0,22.4,22.56,23.07,27427702,LWSA3,LOCAWEB
2020-02-17,22.61,22.61,23.3,23.32,23.62,16902516,LWSA3,LOCAWEB
2020-02-18,23.3,23.1,23.6,23.56,24.2,19359893,LWSA3,LOCAWEB
2020-02-19,23.76,22.7,24.0,23.41,24.04,36507628,LWSA3,LOCAWEB
2020-02-20,24.35,23.39,25.5,24.46,25.65,11207322,LWSA3,LOCAWEB
2020-02-21,24.9,24.18,24.6,24.58,25.33,41366101,LWSA3,LOCAWEB
2020-02-26,23.0,21.05,21.9,22.27,23.69,43764064,LWSA3,LOCAWEB
2020-02-27,21.53,20.06,20.82,20.85,21.53,32986973,LWSA3,LOCAWEB
2020-02-28,20.59,19.8,21.3,20.49,21.47,25777898,LWSA3,LOCAWEB
2020-03-02,20.99,20.85,24.0,23.22,24.0,16244688,LWSA3,LOCAWEB
2020-03-03,24.07,22.66,24.49,23.91,25.0,19607287,LWSA3,LOCAWEB
2020-03-04,25.13,22.65,24.19,23.5,25.45,43971612,LWSA3,LOCAWEB
2020-03-05,23.8,21.87,22.0,22.42,23.8,20418261,LWSA3,LOCAWEB
2020-03-06,20.85,19.64,19.9,20.04,20.85,43081432,LWSA3,LOCAWEB
2020-03-09,16.6,16.6,17.5,17.68,18.88,18619190,LWSA3,LOCAWEB
2020-03-10,19.0,18.12,19.0,18.77,19.8,11026255,LWSA3,LOCAWEB
2020-03-11,18.9,17.52,19.25,18.44,19.25,9350606,LWSA3,LOCAWEB
2020-03-12,16.59,14.7,16.09,16.75,18.5,4872689,LWSA3,LOCAWEB
2020-03-13,19.65,15.65,17.54,16.62,19.65,27201724,LWSA3,LOCAWEB
2020-03-16,15.16,13.75,15.1,15.12,15.35,82932697,LWSA3,LOCAWEB
2020-03-17,15.94,14.61,15.0,15.14,15.94,7295534,LWSA3,LOCAWEB
2020-03-18,13.52,11.15,12.0,11.99,14.0,14861612,LWSA3,LOCAWEB
2020-03-19,12.0,10.87,12.11,11.44,12.8,25115074,LWSA3,LOCAWEB
2020-03-20,12.7,11.5,11.61,11.96,13.45,8483930,LWSA3,LOCAWEB
2020-03-23,11.62,9.72,10.2,10.08,11.62,13559416,LWSA3,LOCAWEB
2020-03-24,11.32,10.6,13.2,11.71,13.2,10186653,LWSA3,LOCAWEB
2020-03-25,12.82,12.82,14.81,14.05,14.99,15657078,LWSA3,LOCAWEB
2020-03-26,14.99,14.65,16.35,15.86,16.58,6337497,LWSA3,LOCAWEB
2020-03-27,15.4,14.88,17.45,16.25,17.79,8360827,LWSA3,LOCAWEB
2020-03-30,17.45,16.75,18.35,17.63,18.38,6392668,LWSA3,LOCAWEB
2020-03-31,18.34,17.71,18.0,18.0,18.35,5923277,LWSA3,LOCAWEB
2020-04-01,17.15,14.65,15.0,15.94,17.8,18019976,LWSA3,LOCAWEB
2020-04-02,15.5,13.77,14.46,14.23,15.5,23630968,LWSA3,LOCAWEB
2020-04-03,14.25,13.36,16.72,14.34,17.26,55756065,LWSA3,LOCAWEB
2020-04-06,17.22,16.25,17.55,16.88,17.8,31009035,LWSA3,LOCAWEB
2020-04-07,18.5,17.54,18.58,18.07,19.0,45468985,LWSA3,LOCAWEB
2020-04-08,19.0,17.78,19.01,18.55,19.73,30029722,LWSA3,LOCAWEB
2020-04-09,19.2,19.2,19.96,19.98,20.55,29500393,LWSA3,LOCAWEB
2020-04-13,20.0,18.69,18.69,19.49,20.49,49858566,LWSA3,LOCAWEB
2020-04-14,19.4,18.85,19.64,19.39,19.64,19750068,LWSA3,LOCAWEB
2020-04-15,19.44,18.94,19.4,19.59,20.0,3948567,LWSA3,LOCAWEB
2020-04-16,20.0,19.15,19.5,19.48,20.1,7764055,LWSA3,LOCAWEB
2020-04-17,20.18,18.77,19.35,19.45,20.18,17466807,LWSA3,LOCAWEB
2020-04-20,19.19,18.87,20.51,19.88,20.51,17935754,LWSA3,LOCAWEB
2020-04-22,20.79,20.78,22.5,22.7,24.84,26759427,LWSA3,LOCAWEB
2020-04-23,23.0,21.4,22.0,22.24,23.52,9371581,LWSA3,LOCAWEB
2020-04-24,21.98,20.15,22.54,21.53,22.54,16699477,LWSA3,LOCAWEB
2020-04-27,22.59,21.99,23.2,22.73,23.5,15453655,LWSA3,LOCAWEB
2020-04-28,24.18,23.7,23.7,23.97,24.54,40052244,LWSA3,LOCAWEB
2020-04-29,23.8,23.38,23.55,23.66,24.17,19552730,LWSA3,LOCAWEB
2020-04-30,23.52,22.53,22.76,23.03,23.85,31431186,LWSA3,LOCAWEB
2020-05-04,22.38,21.53,21.94,22.05,22.96,8138210,LWSA3,LOCAWEB
2020-05-05,22.1,21.71,22.28,22.68,23.3,13167283,LWSA3,LOCAWEB
2020-05-06,22.45,22.07,24.26,23.25,24.26,29670053,LWSA3,LOCAWEB
2020-05-07,24.65,23.32,24.4,24.12,24.8,11586908,LWSA3,LOCAWEB
2020-05-08,24.62,23.53,24.01,24.16,24.62,15947509,LWSA3,LOCAWEB
2020-05-11,24.01,23.51,23.8,23.8,24.3,7054291,LWSA3,LOCAWEB
2020-05-12,23.8,23.66,23.75,23.97,24.5,7496249,LWSA3,LOCAWEB
2020-05-13,23.7,23.62,24.1,24.16,24.5,21183891,LWSA3,LOCAWEB
2020-05-14,23.5,22.81,23.75,23.47,23.82,25891975,LWSA3,LOCAWEB
2020-05-15,23.32,22.51,24.2,23.3,24.26,15392074,LWSA3,LOCAWEB
2020-05-18,24.65,23.84,24.8,24.41,25.0,14695826,LWSA3,LOCAWEB
2020-05-19,24.65,24.26,25.0,24.76,25.01,19565392,LWSA3,LOCAWEB
2020-05-20,25.01,24.62,24.96,25.06,25.85,17704458,LWSA3,LOCAWEB
2020-05-21,24.96,24.61,24.61,24.91,25.39,24935481,LWSA3,LOCAWEB
2020-05-22,24.0,23.6,24.5,24.25,24.84,17499519,LWSA3,LOCAWEB
2020-05-25,25.39,24.85,25.0,25.13,25.67,21031695,LWSA3,LOCAWEB
2020-05-26,25.22,24.77,25.38,25.31,25.82,21281357,LWSA3,LOCAWEB
2020-05-27,25.41,25.41,26.5,26.69,27.36,30947990,LWSA3,LOCAWEB
2020-05-28,26.71,26.21,26.5,26.72,27.27,23880724,LWSA3,LOCAWEB
2020-05-29,26.53,24.53,26.2,25.62,26.73,138263379,LWSA3,LOCAWEB
2020-06-01,26.3,26.3,26.89,26.82,27.2,28641257,LWSA3,LOCAWEB
2020-06-02,27.49,27.11,28.0,27.44,28.0,70437852,LWSA3,LOCAWEB
2020-06-03,28.1,28.1,29.5,29.38,30.0,32546353,LWSA3,LOCAWEB
2020-06-04,29.5,29.13,29.5,29.41,29.68,28879099,LWSA3,LOCAWEB
2020-06-05,29.92,29.1,29.5,29.63,30.0,18712407,LWSA3,LOCAWEB
2020-06-08,29.75,29.41,29.95,29.81,30.0,35760266,LWSA3,LOCAWEB
2020-06-09,29.59,29.01,30.6,29.84,30.6,21402667,LWSA3,LOCAWEB
