"data_pregao","preco_abertura","preco_minimo","preco_ultimo_negocio","preco_medio","preco_maximo","volume_total_negociado","cod_negociacao","nome_empresa"
2018-01-02,3.15,3.11,3.19,3.16,3.2,634028,POSI3,POSITIVO TEC
2018-01-03,3.23,3.2,3.25,3.29,3.39,1981230,POSI3,POSITIVO TEC
2018-01-04,3.25,3.22,3.22,3.25,3.31,818156,POSI3,POSITIVO TEC
2018-01-05,3.25,3.2,3.36,3.37,3.45,2754084,POSI3,POSITIVO TEC
2018-01-08,3.4,3.4,3.56,3.51,3.6,4274404,POSI3,POSITIVO TEC
2018-01-09,3.62,3.53,3.54,3.62,3.7,3854832,POSI3,POSITIVO TEC
2018-01-10,3.53,3.41,3.47,3.47,3.55,1747836,POSI3,POSITIVO TEC
2018-01-11,3.47,3.47,3.64,3.57,3.64,1395250,POSI3,POSITIVO TEC
2018-01-12,3.6,3.5,3.5,3.56,3.63,2735750,POSI3,POSITIVO TEC
2018-01-15,3.57,3.54,3.64,3.58,3.64,1727089,POSI3,POSITIVO TEC
2018-01-16,3.64,3.52,3.52,3.6,3.7,2301365,POSI3,POSITIVO TEC
2018-01-17,3.55,3.54,3.6,3.57,3.61,1397190,POSI3,POSITIVO TEC
2018-01-18,3.6,3.55,3.62,3.57,3.64,699729,POSI3,POSITIVO TEC
2018-01-19,3.65,3.58,3.63,3.61,3.65,812683,POSI3,POSITIVO TEC
2018-01-22,3.65,3.57,3.64,3.6,3.66,699205,POSI3,POSITIVO TEC
2018-01-23,3.64,3.5,3.54,3.54,3.64,1108154,POSI3,POSITIVO TEC
2018-01-24,3.54,3.5,3.52,3.53,3.59,1196379,POSI3,POSITIVO TEC
2018-01-26,3.57,3.52,3.64,3.6,3.66,1755392,POSI3,POSITIVO TEC
2018-01-29,3.67,3.64,3.79,3.79,3.91,7511232,POSI3,POSITIVO TEC
2018-01-30,3.79,3.66,3.76,3.75,3.87,2560676,POSI3,POSITIVO TEC
2018-01-31,3.8,3.69,3.7,3.77,3.84,3196229,POSI3,POSITIVO TEC
2018-02-01,3.71,3.65,3.69,3.69,3.74,1213513,POSI3,POSITIVO TEC
