"data_pregao","preco_abertura","preco_minimo","preco_ultimo_negocio","preco_medio","preco_maximo","volume_total_negociado","cod_negociacao","nome_empresa"
2018-10-18,24.88,24.76,25.22,25.26,25.68,7856695,TOTS3,TOTVS
2018-10-19,25.16,25.16,26.0,25.83,26.15,13973076,TOTS3,TOTVS
2018-10-22,26.48,26.25,27.34,27.73,29.46,40202840,TOTS3,TOTVS
2018-10-23,27.24,25.36,25.5,25.72,27.25,26843166,TOTS3,TOTVS
2018-10-24,25.5,25.13,25.62,25.58,26.05,18769289,TOTS3,TOTVS
2018-10-25,25.93,25.28,25.82,25.76,26.06,17910827,TOTS3,TOTVS
2018-10-26,25.62,25.09,25.38,25.57,25.88,20043850,TOTS3,TOTVS
2018-10-29,26.0,24.4,24.78,25.49,26.01,40219548,TOTS3,TOTVS
2018-10-30,24.64,24.45,25.51,25.42,25.78,16245397,TOTS3,TOTVS
2018-10-31,25.16,24.61,25.1,25.05,25.63,23566455,TOTS3,TOTVS
2018-11-01,25.47,25.11,26.57,26.37,26.9,17175795,TOTS3,TOTVS
2018-11-05,26.93,25.76,26.25,26.12,26.93,28946281,TOTS3,TOTVS
2018-11-06,26.07,25.45,25.71,25.89,26.64,20474770,TOTS3,TOTVS
2018-11-07,25.92,24.97,25.4,25.62,26.19,17982640,TOTS3,TOTVS
2018-11-08,25.83,24.28,24.6,24.96,25.83,16290989,TOTS3,TOTVS
2018-11-09,24.6,24.54,25.14,24.87,25.14,6951399,TOTS3,TOTVS
2018-11-12,24.87,24.0,24.0,24.4,25.56,10480651,TOTS3,TOTVS
2018-11-13,24.4,23.56,23.75,23.78,24.4,8708357,TOTS3,TOTVS
2018-11-14,24.28,24.04,25.15,25.14,25.63,28142199,TOTS3,TOTVS
2018-11-16,25.78,25.17,25.61,25.61,25.89,6939519,TOTS3,TOTVS
2018-11-19,25.8,25.35,26.05,26.19,26.54,25238372,TOTS3,TOTVS
2018-11-21,26.06,25.43,25.74,25.8,26.38,33390479,TOTS3,TOTVS
2018-11-22,25.97,25.8,26.1,26.21,26.48,8219616,TOTS3,TOTVS
2018-11-23,26.18,25.76,25.9,25.95,26.35,6271287,TOTS3,TOTVS
2018-11-26,26.4,26.4,27.96,27.71,28.0,61071241,TOTS3,TOTVS
2018-11-27,27.98,27.53,28.1,27.89,28.3,25447241,TOTS3,TOTVS
2018-11-28,28.38,27.97,29.2,28.56,29.2,28434562,TOTS3,TOTVS
