"data_pregao","preco_abertura","preco_minimo","preco_ultimo_negocio","preco_medio","preco_maximo","volume_total_negociado","cod_negociacao","nome_empresa"
2020-06-02,20.57,20.3,20.75,20.79,21.2,120059800,TOTS3,TOTVS
2020-06-03,21.14,20.64,21.48,21.1,21.6,144019573,TOTS3,TOTVS
2020-06-04,21.57,20.9,21.69,21.57,21.9,139269913,TOTS3,TOTVS
2020-06-05,21.94,20.5,20.76,21.15,22.11,176332921,TOTS3,TOTVS
2020-06-08,21.27,20.36,21.03,20.89,21.4,143011832,TOTS3,TOTVS
2020-06-09,20.69,20.42,21.11,21.11,21.47,121109096,TOTS3,TOTVS
2020-06-10,21.25,20.63,21.49,21.3,21.79,123573682,TOTS3,TOTVS
2020-06-12,20.88,20.56,21.55,21.07,21.55,114743446,TOTS3,TOTVS
2020-06-15,20.99,20.59,21.17,21.25,21.59,89604581,TOTS3,TOTVS
2020-06-16,21.58,20.81,21.03,21.28,21.7,94997721,TOTS3,TOTVS
2020-06-17,21.02,21.02,22.15,21.97,22.42,150211459,TOTS3,TOTVS
2020-06-18,22.3,21.73,22.74,22.56,22.78,167384457,TOTS3,TOTVS
2020-06-19,22.94,22.53,22.59,22.76,23.15,192942050,TOTS3,TOTVS
2020-06-22,22.56,22.36,22.64,22.66,23.02,87779205,TOTS3,TOTVS
2020-06-23,23.43,22.7,22.84,22.99,23.44,89518138,TOTS3,TOTVS
2020-06-24,22.88,22.04,22.41,22.48,23.18,75332217,TOTS3,TOTVS
2020-06-25,22.44,21.85,23.07,22.8,23.11,71336830,TOTS3,TOTVS
2020-06-26,23.09,22.19,22.26,22.48,23.09,51672990,TOTS3,TOTVS
2020-06-29,22.43,21.94,22.42,22.34,22.63,31814090,TOTS3,TOTVS
2020-06-30,22.14,22.1,23.15,23.07,23.43,117821967,TOTS3,TOTVS
2020-07-01,23.01,23.01,23.75,23.72,24.1,139151408,TOTS3,TOTVS
2020-07-02,24.2,23.83,24.13,24.11,24.51,96160370,TOTS3,TOTVS
2020-07-03,24.13,23.8,24.2,24.13,24.3,45775724,TOTS3,TOTVS
2020-07-06,24.68,24.31,24.36,24.59,24.99,84274633,TOTS3,TOTVS
2020-07-07,24.43,23.95,24.52,24.51,25.08,141740612,TOTS3,TOTVS
